token,symbol,expiry,freeze_qty,is_cas_enabled
35346,NIFTY28DEC2730000CE,28DEC2027,1801,False
58637,NIFTY29DEC2616000PE,29DEC2026,1801,False
58646,NIFTY29DEC2621000CE,29DEC2026,1801,False
40880,NIFTY11AUG2621600PE,11AUG2026,1801,False
40891,NIFTY11AUG2621750CE,11AUG2026,1801,False
40943,NIFTY11AUG2622850CE,11AUG2026,1801,False
40949,NIFTY11AUG2623000CE,11AUG2026,1801,False
40953,NIFTY11AUG2623100CE,11AUG2026,1801,False
40964,NIFTY11AUG2623350PE,11AUG2026,1801,False
40965,NIFTY11AUG2623400CE,11AUG2026,1801,False
40970,NIFTY11AUG2623500PE,11AUG2026,1801,False
40999,NIFTY11AUG2624200CE,11AUG2026,1801,False
41016,NIFTY11AUG2624600PE,11AUG2026,1801,False
41028,NIFTY11AUG2624800PE,11AUG2026,1801,False
41045,NIFTY11AUG2625200CE,11AUG2026,1801,False
41064,NIFTY11AUG2625650PE,11AUG2026,1801,False
41065,NIFTY11AUG2625700CE,11AUG2026,1801,False
41070,NIFTY11AUG2625750PE,11AUG2026,1801,False
41073,NIFTY11AUG2625850CE,11AUG2026,1801,False
41076,NIFTY11AUG2625900PE,11AUG2026,1801,False
41078,NIFTY11AUG2625950PE,11AUG2026,1801,False
41079,NIFTY11AUG2626000CE,11AUG2026,1801,False
41092,NIFTY11AUG2626100PE,11AUG2026,1801,False
41095,NIFTY11AUG2626200CE,11AUG2026,1801,False
41106,NIFTY11AUG2626350PE,11AUG2026,1801,False
41107,NIFTY11AUG2626400CE,11AUG2026,1801,False
41117,NIFTY11AUG2626650CE,11AUG2026,1801,False
41138,NIFTY11AUG2627050PE,11AUG2026,1801,False
41140,NIFTY11AUG2627100PE,11AUG2026,1801,False
41142,NIFTY11AUG2627150PE,11AUG2026,1801,False
45007,NIFTY18AUG2622400CE,18AUG2026,1801,False
45010,NIFTY18AUG2622400PE,18AUG2026,1801,False
45011,NIFTY18AUG2622450CE,18AUG2026,1801,False
45012,NIFTY18AUG2622450PE,18AUG2026,1801,False
45018,NIFTY18AUG2622550PE,18AUG2026,1801,False
45027,NIFTY18AUG2622800CE,18AUG2026,1801,False
45036,NIFTY18AUG2622900PE,18AUG2026,1801,False
45049,NIFTY18AUG2623200CE,18AUG2026,1801,False
45055,NIFTY18AUG2623300PE,18AUG2026,1801,False
45078,NIFTY18AUG2623800CE,18AUG2026,1801,False
45110,NIFTY18AUG2624500CE,18AUG2026,1801,False
45154,NIFTY18AUG2625150CE,18AUG2026,1801,False
45163,NIFTY18AUG2625300PE,18AUG2026,1801,False
45169,NIFTY18AUG2625450PE,18AUG2026,1801,False
45198,NIFTY18AUG2625950CE,18AUG2026,1801,False
45200,NIFTY18AUG2626000CE,18AUG2026,1801,False
45204,NIFTY18AUG2626050CE,18AUG2026,1801,False
45207,NIFTY18AUG2626100PE,18AUG2026,1801,False
45212,NIFTY18AUG2626250CE,18AUG2026,1801,False
45232,NIFTY18AUG2626500PE,18AUG2026,1801,False
46923,NIFTY01SEP2622450CE,01SEP2026,1801,False
46946,NIFTY01SEP2623000PE,01SEP2026,1801,False
46949,NIFTY01SEP2623100CE,01SEP2026,1801,False
46961,NIFTY01SEP2623400CE,01SEP2026,1801,False
46972,NIFTY01SEP2623650PE,01SEP2026,1801,False
46979,NIFTY01SEP2623850CE,01SEP2026,1801,False
46986,NIFTY01SEP2624000PE,01SEP2026,1801,False
46990,NIFTY01SEP2624100PE,01SEP2026,1801,False
47013,NIFTY01SEP2624700CE,01SEP2026,1801,False
47030,NIFTY01SEP2625100PE,01SEP2026,1801,False
